Chunk_size,Chunk_Overlap,Time,Story Number,Question Number,EM,Precision,Recall,F1
pairwise,"[1, 2]",645.6818397045135,65,4,0,0,0,0
pairwise,"[1, 2]",662.4238200187683,65,5,0,0,0,0
pairwise,"[1, 2]",662.4591007232666,65,6,0,0,0,0
pairwise,"[1, 2]",662.4943358898163,65,7,0,0,0,0
pairwise,"[1, 2]",662.8248288631439,66,1,0,0,0,0
pairwise,"[1, 2]",662.8829967975616,66,3,0,0,0,0
pairwise,"[1, 2]",662.9280948638916,66,4,0,0,0,0
pairwise,"[1, 2]",662.9708607196808,66,5,0,0,0,0
pairwise,"[1, 2]",663.0131566524506,66,6,0,0,0,0
pairwise,"[1, 2]",663.0556478500366,66,7,0,0,0,0
pairwise,"[1, 2]",663.0986359119415,66,8,0,0,0,0
pairwise,"[1, 2]",663.2531037330627,67,1,0,0,0,0
pairwise,"[1, 2]",663.293922662735,67,2,0,0,0,0
pairwise,"[1, 2]",679.0483589172363,67,3,0,0,0,0
pairwise,"[1, 2]",679.0795998573303,67,4,0,0,0,0
pairwise,"[1, 2]",679.1131248474121,67,5,0,0,0,0
pairwise,"[1, 2]",679.1428337097168,67,6,0,0,0,0
pairwise,"[1, 2]",679.1835219860077,67,8,0,0,0,0
pairwise,"[1, 2]",679.4737448692322,68,4,0,0,0,0
pairwise,"[1, 2]",679.5233719348907,68,7,0,0,0,0
pairwise,"[1, 2]",679.6561648845673,69,0,0,0,0,0
pairwise,"[1, 2]",679.6966137886047,69,1,0,0,0,0
pairwise,"[1, 2]",679.7339587211609,69,2,0,0,0,0
pairwise,"[1, 2]",679.7736418247223,69,3,0,0,0,0
pairwise,"[1, 2]",679.8129847049713,69,4,0,0,0,0
pairwise,"[1, 2]",679.8480198383331,69,7,0,0,0,0
pairwise,"[1, 2]",698.0050659179688,70,0,1,1.0,1.0,1.0
