Chunk_size,Chunk_Overlap,Time,Story Number,Question Number,EM,Precision,Recall,F1,Error
100,0,1.9631929397583008,55,0,0,0,0,0,0
100,0,1.9202909469604492,56,0,0,0,0,0,0
100,0,1.9439799785614014,57,0,0,0,0,0,0
100,0,1.895495891571045,58,0,0,0.6666666666666666,1.0,0.8,0
100,0,2.059004306793213,59,0,0,0.6666666666666666,1.0,0.8,0
100,0,1.8343040943145752,60,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
100,0,2.6422901153564453,61,0,0,0,0,0,0
100,0,1.8636150360107422,62,0,0,0,0,0,0
100,0,3.4744529724121094,63,0,0,0,0,0,0
100,0,2.561863899230957,64,0,0,0,0,0,0
100,0,1.885528802871704,65,0,0,0,0,0,0
100,0,3.6837751865386963,66,0,0,0,0,0,0
100,0,3.224860191345215,67,0,0,0.023809523809523808,1.0,0.046511627906976744,0
100,0,2.2739992141723633,68,0,0,0.5,1.0,0.6666666666666666,0
100,0,6.303566932678223,69,0,0,0,0,0,0
100,0,1.9922869205474854,70,0,0,0.5,1.0,0.6666666666666666,0
100,0,2.7733278274536133,71,0,0,0,0,0,0
100,0,1.9475839138031006,72,0,0,0,0,0,0
100,0,2.1242499351501465,73,0,0,0,0,0,0
100,0,4.2169880867004395,74,0,0,0.02,0.3333333333333333,0.03773584905660377,0
100,0,1.8534181118011475,75,0,0,0.5,0.5,0.5,0
100,0,2.273236036300659,76,0,0,0,0,0,0
100,0,2.345144033432007,77,0,0,0.5,1.0,0.6666666666666666,0
100,0,1.9748179912567139,78,0,0,0,0,0,0
100,0,2.752408027648926,79,0,0,0.043478260869565216,0.5,0.08,0
100,0,2.6351118087768555,80,0,0,0,0,0,0
100,0,3.0977377891540527,81,0,0,0.06666666666666667,1.0,0.125,0
100,0,1.8999412059783936,82,0,0,0.5,1.0,0.6666666666666666,0
100,0,1.775451898574829,83,0,0,0,0,0,0
100,0,2.1368792057037354,84,0,0,0,0,0,0
100,0,3.984431028366089,85,0,0,0,0,0,0
100,0,2.5197031497955322,86,0,0,0,0,0,0
100,0,1.8132169246673584,87,0,0,0,0,0,0
100,0,1.9456830024719238,88,0,0,0,0,0,0
100,0,1.9196829795837402,89,0,0,0,0,0,0
100,0,1.3480267524719238,90,0,0,0,0,0,0
100,0,2.6436729431152344,91,0,0,0,0,0,0
100,0,1.963346004486084,92,0,0,0,0,0,0
100,0,2.1389009952545166,93,0,0,0,0,0,0
100,0,2.1469271183013916,94,0,0,0,0,0,0
100,0,2.7671592235565186,95,0,0,0,0,0,0
100,0,1.5867292881011963,96,0,0,0,0,0,0
100,0,1.9122109413146973,97,0,0,0.5,1.0,0.6666666666666666,0
100,0,2.341348171234131,98,0,0,0.2857142857142857,1.0,0.4444444444444445,0
100,0,1.9460868835449219,99,0,0,0.75,1.0,0.8571428571428571,0
100,0,2.0763099193573,100,0,0,0,0,0,0
100,0.1,2.5431830883026123,1,0,0,0,0,0,0
100,0.1,1.9293148517608643,2,0,0,0,0,0,0
100,0.1,2.1836092472076416,3,0,0,0,0,0,0
100,0.1,1.746061086654663,4,0,0,0,0,0,0
100,0.1,4.07611608505249,5,0,0,0,0,0,0
100,0.1,2.082479238510132,6,0,0,0,0,0,0
100,0.1,1.7558941841125488,7,0,1,1.0,1.0,1.0,0
100,0.1,1.6818046569824219,8,0,0,0,0,0,0
100,0.1,1.684196949005127,9,0,0,0,0,0,0
100,0.1,1.8306410312652588,10,0,0,0,0,0,0
100,0.1,1.9306988716125488,11,0,0,0.3333333333333333,1.0,0.5,0
100,0.1,2.1244099140167236,12,0,0,0.5,1.0,0.6666666666666666,0
100,0.1,2.3130319118499756,13,0,0,0,0,0,0
100,0.1,2.1492669582366943,14,0,0,0.125,0.125,0.125,0
100,0.1,1.5633749961853027,15,0,0,0.5,0.3333333333333333,0.4,0
100,0.1,2.0142199993133545,16,0,0,0,0,0,0
100,0.1,1.9056861400604248,17,0,0,0,0,0,0
100,0.1,2.2582669258117676,18,0,0,0,0,0,0
100,0.1,2.3407082557678223,19,0,0,0.6666666666666666,1.0,0.8,0
100,0.1,2.7130727767944336,20,0,0,0,0,0,0
100,0.1,1.6825060844421387,21,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
100,0.1,1.7736260890960693,22,0,0,0,0,0,0
100,0.1,1.8701729774475098,23,0,0,0,0,0,0
100,0.1,1.9610936641693115,24,0,0,0,0,0,0
100,0.1,2.322543144226074,25,0,0,0,0,0,0
100,0.1,2.2655601501464844,26,0,0,0,0,0,0
100,0.1,1.9026272296905518,27,0,0,0,0,0,0
100,0.1,2.014477014541626,28,0,0,0,0,0,0
100,0.1,1.888145923614502,29,0,0,0,0,0,0
100,0.1,2.511075019836426,30,0,0,0,0,0,0
100,0.1,1.755073070526123,31,0,0,0.4,1.0,0.5714285714285715,0
100,0.1,2.233722686767578,32,0,0,0,0,0,0
100,0.1,2.60510516166687,33,0,0,0,0,0,0
100,0.1,1.7135469913482666,34,0,0,0,0,0,0
100,0.1,1.864893913269043,35,0,0,0.16666666666666666,0.5,0.25,0
100,0.1,1.4620420932769775,36,0,0,0,0,0,0
100,0.1,1.7944138050079346,37,0,0,0,0,0,0
100,0.1,2.2021381855010986,38,0,0,0,0,0,0
100,0.1,5.254190921783447,39,0,0,0,0,0,0
100,0.1,1.755500078201294,40,0,0,0.3333333333333333,0.25,0.28571428571428575,0
100,0.1,1.699214220046997,41,0,0,0,0,0,0
100,0.1,2.312166213989258,42,0,0,0.0625,0.5,0.1111111111111111,0
100,0.1,3.818209171295166,43,0,0,0.03773584905660377,0.6666666666666666,0.07142857142857142,0
100,0.1,1.9840099811553955,44,0,0,0,0,0,0
100,0.1,1.8229000568389893,45,0,0,0.5,1.0,0.6666666666666666,0
100,0.1,1.8123278617858887,46,0,0,0,0,0,0
100,0.1,2.2765960693359375,47,0,0,0.125,1.0,0.2222222222222222,0
100,0.1,1.9438669681549072,48,0,0,0,0,0,0
100,0.1,1.915947675704956,49,0,0,0,0,0,0
