Chunk_size,Chunk_Overlap,Time,Story Number,Question Number,EM,Precision,Recall,F1,Error
300,0,3.294524908065796,40,0,0,0,0,0,0
300,0,3.1313648223876953,41,0,0,0.5,1.0,0.6666666666666666,0
300,0,3.3112728595733643,42,0,0,0,0,0,0
300,0,3.276434898376465,43,0,0,0,0,0,0
300,0,3.6313018798828125,44,0,0,0,0,0,0
300,0,3.442892074584961,45,0,0,0.3333333333333333,1.0,0.5,0
300,0,2.895624876022339,46,0,0,0,0,0,0
300,0,2.974083185195923,47,0,0,0,0,0,0
300,0,3.488090991973877,48,0,0,0,0,0,0
300,0,3.140275001525879,49,0,0,0.5,0.14285714285714285,0.22222222222222224,0
300,0,3.2282419204711914,50,0,0,0,0,0,0
300,0,7.941987991333008,51,0,0,0,0,0,0
300,0,2.3909969329833984,52,0,0,0,0,0,0
300,0,2.916640043258667,53,0,0,0,0,0,0
300,0,3.510028839111328,54,0,0,0,0,0,0
300,0,3.7131078243255615,55,0,0,0,0,0,0
300,0,3.1188950538635254,56,0,0,0,0,0,0
300,0,8.054380178451538,57,0,0,0,0,0,0
300,0,3.2327773571014404,58,0,0,0,0,0,0
300,0,3.6456210613250732,59,0,0,0.6666666666666666,1.0,0.8,0
300,0,3.505190134048462,60,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
300,0,7.571593999862671,61,0,0,0.010869565217391304,0.5,0.021276595744680847,0
300,0,3.4644010066986084,62,0,0,0,0,0,0
300,0,3.524317979812622,63,0,0,0,0,0,0
300,0,7.771020174026489,64,0,0,0,0,0,0
300,0,3.4090616703033447,65,0,0,0.5,1.0,0.6666666666666666,0
300,0,3.551352024078369,66,0,0,0,0,0,0
300,0,3.8585381507873535,67,0,0,0.043478260869565216,1.0,0.08333333333333333,0
300,0,4.135595083236694,68,0,0,0,0,0,0
300,0,2.9969141483306885,69,0,0,0,0,0,0
300,0,3.1033670902252197,70,0,1,1.0,1.0,1.0,0
300,0,8.6490318775177,71,0,0,0,0,0,0
300,0,7.57637882232666,72,0,0,0,0,0,0
300,0,2.1906991004943848,73,0,0,0,0,0,0
300,0,7.909293174743652,74,0,0,0.010416666666666666,0.3333333333333333,0.0202020202020202,0
300,0,3.561798095703125,75,0,0,0,0,0,0
300,0,4.048419237136841,76,0,0,0,0,0,0
300,0,4.0725257396698,77,0,0,0.5,1.0,0.6666666666666666,0
300,0,3.618993043899536,78,0,0,0,0,0,0
300,0,5.034707069396973,79,0,0,0,0,0,0
300,0,3.2365119457244873,80,0,0,0,0,0,0
300,0,4.86939001083374,81,0,0,0.047619047619047616,1.0,0.0909090909090909,0
300,0,3.5358920097351074,82,0,1,1.0,1.0,1.0,0
300,0,2.512056827545166,83,0,0,0,0,0,0
300,0,3.5282530784606934,84,0,0,0,0,0,0
300,0,3.5724799633026123,85,0,0,0,0,0,0
300,0,2.816178798675537,86,0,0,0,0,0,0
300,0,3.7865631580352783,87,0,0,0,0,0,0
300,0,3.2086708545684814,88,0,0,0,0,0,0
300,0,3.375627040863037,89,0,0,0,0,0,0
300,0,1.2799098491668701,90,0,0,0,0,0,0
300,0,4.266348123550415,91,0,0,0,0,0,0
300,0,3.567768096923828,92,0,0,0,0,0,0
300,0,2.7428739070892334,93,0,0,0,0,0,0
300,0,2.744450807571411,94,0,0,0,0,0,0
300,0,4.144632816314697,95,0,0,0,0,0,0
300,0,2.8618221282958984,96,0,0,0,0,0,0
300,0,3.8878660202026367,97,0,0,0,0,0,0
300,0,3.73349928855896,98,0,0,0.2,1.0,0.33333333333333337,0
300,0,3.909581184387207,99,0,0,0.75,1.0,0.8571428571428571,0
300,0,4.1561620235443115,100,0,0,0.6666666666666666,1.0,0.8,0
300,0.1,4.240070104598999,1,0,0,0,0,0,0
300,0.1,3.8652658462524414,2,0,0,0,0,0,0
300,0.1,3.765916109085083,3,0,0,0,0,0,0
300,0.1,4.455495119094849,4,0,0,0,0,0,0
300,0.1,4.321192741394043,5,0,0,0,0,0,0
300,0.1,3.7474780082702637,6,0,0,0,0,0,0
300,0.1,2.774662971496582,7,0,1,1.0,1.0,1.0,0
300,0.1,3.5809390544891357,8,0,0,0,0,0,0
300,0.1,7.848639011383057,9,0,0,0,0,0,0
300,0.1,2.5913171768188477,10,0,0,0.16666666666666666,0.5,0.25,0
300,0.1,3.555974245071411,11,0,0,0.2727272727272727,1.0,0.42857142857142855,0
300,0.1,3.4694221019744873,12,0,0,0,0,0,0
300,0.1,3.385079860687256,13,0,0,0,0,0,0
300,0.1,3.169433116912842,14,0,0,0.7777777777777778,0.875,0.823529411764706,0
300,0.1,4.146734237670898,15,0,0,0,0,0,0
300,0.1,3.211925983428955,16,0,0,0,0,0,0
300,0.1,3.217038869857788,17,0,0,0.5,1.0,0.6666666666666666,0
300,0.1,3.071187973022461,18,0,0,0,0,0,0
