Chunk_size,Chunk_Overlap,Dist_Func,Top_N,Time,Story Number,Question Number,EM,Precision,Recall,F1,Error
50,0,cosine,4,1239.5587439537048,11,6,0,0,0,0,0
50,0,cosine,4,1251.3710310459137,13,6,0,0,0,0,0
50,0,cosine,4,1260.364040851593,16,3,0,0,0,0,0
50,0,cosine,4,1271.0988059043884,18,5,0,0,0,0,0
50,0,cosine,4,1281.504331111908,18,7,0,0,0,0,0
50,0,cosine,4,1290.0644309520721,18,8,0,0,0,0,0
50,0,cosine,4,1300.963371038437,19,5,0,1.0,0.6666666666666666,0.8,0
50,0,cosine,4,1312.5482749938965,19,6,0,0.14285714285714285,1.0,0.25,0
50,0,cosine,4,1323.7616419792175,19,8,0,0.25,1.0,0.4,0
50,0,cosine,4,1330.3498649597168,20,2,0,0,0,0,0
50,0,cosine,4,1336.7230908870697,20,4,0,0,0,0,0
50,0,cosine,4,1343.1906230449677,20,7,0,0,0,0,0
50,0,cosine,4,1353.9236381053925,28,24,0,0,0,0,0
50,0,cosine,4,1363.011934041977,32,0,1,0,0,0,0
50,0,cosine,4,1371.6031138896942,32,3,0,0,0,0,0
50,0,cosine,4,1378.2539489269257,33,5,0,0,0,0,0
50,0,cosine,4,1385.2255029678345,36,1,0,0,0,0,0
50,0,cosine,4,1396.9807727336884,37,1,0,0,0,0,0
50,0,cosine,4,1408.306872844696,37,2,0,0,0,0,0
50,0,cosine,4,1419.9809160232544,37,3,0,0,0,0,0
50,0,cosine,4,1426.5301251411438,37,4,0,0,0,0,0
50,0,cosine,4,1438.2253787517548,37,5,0,0,0,0,0
50,0,cosine,4,1444.7633590698242,37,8,0,0,0,0,0
50,0,cosine,4,1451.0670039653778,38,8,0,0,0,0,0
50,0,cosine,4,1455.1689348220825,39,1,0,0,0,0,0
50,0,cosine,4,1462.6135149002075,40,2,0,0,0,0,0
50,0,cosine,4,1469.9218039512634,43,2,0,0,0,0,0
50,0,cosine,4,1476.2826509475708,43,5,0,0,0,0,0
50,0,cosine,4,1482.9930629730225,45,4,0,0,0,0,0
50,0,cosine,4,1494.8166298866272,48,0,0,0,0,0,0
50,0,cosine,4,1506.288873910904,48,1,0,0,0,0,0
50,0,cosine,4,1517.7952210903168,48,2,0,0,0,0,0
50,0,cosine,4,1529.344839811325,48,3,0,0,0,0,0
50,0,cosine,4,1541.1230127811432,48,4,0,0,0,0,0
50,0,cosine,4,1552.6454229354858,48,5,0,0,0,0,0
50,0,cosine,4,1564.1530220508575,48,6,0,0,0,0,0
50,0,cosine,4,1575.8286159038544,48,7,0,0,0,0,0
50,0,cosine,4,1582.4000828266144,49,7,0,0,0,0,0
25,0,pairwise,2,1590.618707895279,0,0,1,1.0,1.0,1.0,0
25,0,pairwise,2,1599.0303869247437,0,1,0,0,0,0,0
25,0,pairwise,2,1607.5309019088745,0,2,0,0,0,0,0
25,0,pairwise,2,1616.019306898117,0,5,0,0,0,0,0
25,0,pairwise,2,1624.1917569637299,0,6,0,0,0,0,0
25,0,pairwise,2,1632.4443027973175,0,8,1,1.0,1.0,1.0,0
25,0,pairwise,2,1638.4311637878418,5,2,0,0,0,0,0
25,0,pairwise,2,1642.929699897766,5,7,0,0,0,0,0
25,0,pairwise,2,1651.758348941803,7,4,0,0,0,0,0
25,0,pairwise,2,1661.2653460502625,7,7,0,0,0,0,0
25,0,pairwise,2,1669.778511762619,7,10,0,0,0,0,0
25,0,pairwise,2,1678.4318988323212,7,11,0,0,0,0,0
25,0,pairwise,2,1687.1249089241028,8,5,0,0,0,0,0
25,0,pairwise,2,1694.602318763733,9,0,0,0,0,0,0
25,0,pairwise,2,1701.1693518161774,10,0,0,0,0,0,0
25,0,pairwise,2,1707.9308307170868,11,2,0,0,0,0,0
25,0,pairwise,2,1719.8803088665009,13,6,0,0,0,0,0
25,0,pairwise,2,1728.837261915207,16,3,0,0,0,0,0
25,0,pairwise,2,1739.5652480125427,18,5,0,0,0,0,0
25,0,pairwise,2,1749.9935529232025,18,7,0,0,0,0,0
25,0,pairwise,2,1758.5483388900757,18,8,0,0,0,0,0
25,0,pairwise,2,1769.455579996109,19,5,0,1.0,0.6666666666666666,0.8,0
25,0,pairwise,2,1780.9955430030823,19,6,0,0.14285714285714285,1.0,0.25,0
25,0,pairwise,2,1792.2044978141785,19,8,0,0.25,1.0,0.4,0
25,0,pairwise,2,1798.7962098121643,20,2,0,0,0,0,0
25,0,pairwise,2,1805.1252360343933,20,4,0,0,0,0,0
25,0,pairwise,2,1811.6006247997284,20,7,0,0,0,0,0
25,0,pairwise,2,1822.6960489749908,21,3,0,0,0,0,0
25,0,pairwise,2,1833.191888809204,28,24,0,0,0,0,0
25,0,pairwise,2,1842.2720699310303,32,0,1,0,0,0,0
25,0,pairwise,2,1853.6096568107605,32,1,0,0,0,0,0
25,0,pairwise,2,1862.1601150035858,32,3,0,0,0,0,0
25,0,pairwise,2,1873.5963320732117,32,9,0,0,0,0,0
25,0,pairwise,2,1880.0984468460083,33,5,0,0,0,0,0
25,0,pairwise,2,1887.080717086792,36,1,0,0,0,0,0
25,0,pairwise,2,1898.8323369026184,37,1,0,0,0,0,0
25,0,pairwise,2,1910.1681489944458,37,2,0,0,0,0,0
